time,latitude,longitude,altitude,accuracy
2024-05-01T00:00:00.000Z,46.45,6.45,420,5
2024-05-01T00:10:00.000Z,46.454333,6.457333,441,5
2024-05-01T00:20:00.000Z,46.458399,6.464935,462,5
2024-05-01T00:30:00.000Z,46.462,6.473,482,5
2024-05-01T00:40:00.000Z,46.465065,6.481601,503,5
2024-05-01T00:50:00.000Z,46.467667,6.490667,523,5
2024-05-01T01:00:00.000Z,46.47,6.5,542,5
2024-05-01T01:10:00.000Z,46.476,6.504,562,5
2024-05-01T01:20:00.000Z,46.481732,6.508268,580,5
2024-05-01T01:30:00.000Z,46.487,6.513,598,5
2024-05-01T01:40:00.000Z,46.491732,6.518268,615,5
2024-05-01T01:50:00.000Z,46.496,6.524,631,5
2024-05-01T02:00:00.000Z,46.5,6.53,646,5
2024-05-01T02:10:00.000Z,46.506,6.540667,661,5
2024-05-01T02:20:00.000Z,46.511732,6.551601,674,5
2024-05-01T02:30:00.000Z,46.517,6.563,686,5
2024-05-01T02:40:00.000Z,46.521732,6.574935,697,5
2024-05-01T02:50:00.000Z,46.526,6.587333,707,5
2024-05-01T03:00:00.000Z,46.53,6.6,716,5
2024-05-01T03:10:00.000Z,46.526,6.587333,723,5
2024-05-01T03:20:00.000Z,46.521732,6.574935,729,5
2024-05-01T03:30:00.000Z,46.517,6.563,734,5
2024-05-01T03:40:00.000Z,46.511732,6.551601,737,5
2024-05-01T03:50:00.000Z,46.506,6.540667,739,5
2024-05-01T04:00:00.000Z,46.5,6.53,740,5
2024-05-01T04:10:00.000Z,46.497667,6.545667,739,5
2024-05-01T04:20:00.000Z,46.495065,6.561601,737,5
2024-05-01T04:30:00.000Z,46.492,6.578,734,5
2024-05-01T04:40:00.000Z,46.488399,6.594935,729,5
2024-05-01T04:50:00.000Z,46.484333,6.612333,723,5
2024-05-01T05:00:00.000Z,46.48,6.63,716,5
2024-05-02T00:00:00.000Z,46.474333,6.639,707,5
2024-05-02T00:10:00.000Z,46.468399,6.648268,697,5
2024-05-02T00:20:00.000Z,46.462,6.658,686,5
2024-05-02T00:30:00.000Z,46.455065,6.668268,674,5
2024-05-02T00:40:00.000Z,46.447667,6.679,661,5
2024-05-02T00:50:00.000Z,46.44,6.69,646,5
2024-05-02T01:00:00.000Z,46.437667,6.677333,631,5
2024-05-02T01:10:00.000Z,46.435065,6.664935,615,5
2024-05-02T01:20:00.000Z,46.432,6.653,598,5
2024-05-02T01:30:00.000Z,46.428399,6.641601,580,5
2024-05-02T01:40:00.000Z,46.424333,6.630667,562,5
2024-05-02T01:50:00.000Z,46.42,6.62,542,5
2024-05-02T02:00:00.000Z,46.417667,6.605667,523,5
2024-05-02T02:10:00.000Z,46.415065,6.591601,503,5
2024-05-02T02:20:00.000Z,46.412,6.578,482,5
2024-05-02T02:30:00.000Z,46.408399,6.564935,462,5
2024-05-02T02:40:00.000Z,46.404333,6.552333,441,5
2024-05-02T02:50:00.000Z,46.4,6.54,420,5
